File,N.Sentences,N.words,N.syllables,Words.Per.Sentence,Syllables.Per.Word,Grade.Score
2596.txt,42,445,686,10.595,1.542,6.733
2626.txt,51,1025,1720,20.098,1.678,12.049
2633.txt,60,759,1243,12.65,1.638,8.668
2671.txt,67,892,1537,13.313,1.723,9.935
2672.txt,66,950,1634,14.394,1.72,10.32
2706.txt,48,678,993,14.125,1.465,7.201
2717.txt,45,752,1197,16.711,1.592,9.71
2726.txt,51,806,1382,15.804,1.715,10.806
2736.txt,124,1232,1894,9.935,1.537,6.425
2787.txt,47,611,943,13.0,1.543,7.692
2812.txt,55,723,1101,13.145,1.523,7.506
2841.txt,41,575,981,14.024,1.706,10.011
2853.txt,54,745,1147,13.796,1.54,7.958
2859.txt,37,553,912,14.946,1.649,9.699
2862.txt,78,1375,2355,17.628,1.713,11.495
2866.txt,95,1252,2070,13.179,1.653,9.059
2884.txt,59,803,1247,13.61,1.553,8.042
2894.txt,40,751,1272,18.775,1.694,11.718
2933.txt,38,577,883,15.184,1.53,8.39
2934.txt,34,628,975,18.471,1.553,9.934
2941.txt,37,552,874,14.919,1.583,8.912
2978.txt,52,572,848,11.0,1.483,6.194
2986.txt,38,348,471,9.158,1.353,3.952
3003.txt,37,680,1204,18.378,1.771,12.471
3027.txt,53,575,884,10.849,1.537,6.782
3036.txt,44,299,414,6.795,1.385,3.399
3037.txt,56,606,941,10.821,1.553,6.953
3066.txt,66,1171,2092,17.742,1.787,12.41
3072.txt,54,570,917,10.556,1.609,7.51
3127.txt,60,734,1084,12.233,1.477,6.608
3134.txt,57,834,1353,14.632,1.622,9.259
3174.txt,56,1044,1582,18.643,1.515,9.562
3185.txt,52,873,1453,16.788,1.664,10.597
3212.txt,60,874,1354,14.567,1.549,8.372
3240.txt,55,930,1573,16.909,1.691,10.963
3244.txt,46,701,1188,15.239,1.695,10.351
3282.txt,49,530,806,10.816,1.521,6.573
3295.txt,57,1170,2239,20.526,1.914,14.997
3302.txt,51,476,670,9.333,1.408,4.659
3330.txt,30,639,1014,21.3,1.587,11.442
3336.txt,58,702,1124,12.103,1.601,8.024
3353.txt,69,873,1442,12.652,1.652,8.835
3371.txt,52,1080,1889,20.769,1.749,13.149
3392.txt,39,394,576,10.103,1.462,5.601
3400.txt,28,580,914,20.714,1.576,11.084
3413.txt,48,505,815,10.521,1.614,7.557
3426.txt,29,453,759,15.621,1.675,10.273
3440.txt,63,637,909,10.111,1.427,5.192
3473.txt,56,486,787,8.679,1.619,6.903
3476.txt,56,785,1347,14.018,1.716,10.125
3491.txt,50,689,1076,13.78,1.562,8.212
3514.txt,48,425,640,8.854,1.506,5.633
3515.txt,36,1008,1635,28.0,1.622,14.47
3539.txt,48,460,648,9.583,1.409,4.77
3549.txt,63,825,1376,13.095,1.668,9.198
3567.txt,64,869,1397,13.578,1.608,8.675
3609.txt,53,627,963,11.83,1.536,7.147
3616.txt,52,767,1209,14.75,1.576,8.763
3639.txt,45,862,1455,19.156,1.688,11.798
3640.txt,50,861,1439,17.22,1.671,10.847
3646.txt,27,252,343,9.333,1.361,4.111
3666.txt,46,352,531,7.652,1.509,5.195
3689.txt,56,822,1278,14.679,1.555,8.481
3709.txt,58,922,1481,15.897,1.606,9.564
3715.txt,49,776,1342,15.837,1.729,10.993
3717.txt,64,609,952,9.516,1.563,6.567
3722.txt,47,916,1436,19.489,1.568,10.51
3727.txt,47,682,1088,14.511,1.595,8.894
